iter	Passed	Remaining
0	59	59800
1	60	30004
2	60	20063
3	60	15090
4	60	12107
5	61	10113
6	61	8692
7	61	7626
8	61	6796
9	61	6131
10	62	5591
11	62	5138
12	62	4756
13	62	4428
14	63	4150
15	63	3902
16	63	3683
17	63	3487
18	64	3311
19	64	3153
20	64	3010
21	64	2881
22	65	2761
23	65	2656
24	65	2557
25	65	2465
26	66	2381
27	66	2300
28	66	2225
29	66	2156
30	66	2092
31	67	2031
32	67	1976
33	67	1927
34	68	1876
35	68	1828
36	68	1782
37	68	1739
38	68	1698
39	69	1659
40	69	1622
41	69	1586
42	69	1553
43	70	1520
44	70	1489
45	70	1460
46	70	1432
47	70	1404
48	71	1378
49	71	1354
50	71	1329
51	71	1306
52	71	1284
53	72	1263
54	72	1242
55	72	1223
56	72	1203
57	72	1185
58	73	1167
59	73	1150
60	73	1134
61	73	1118
62	74	1102
63	74	1086
64	74	1072
65	74	1057
66	75	1045
67	75	1032
68	75	1019
69	75	1006
70	75	993
71	76	981
72	76	969
73	76	958
74	76	947
75	77	936
76	77	926
77	77	916
78	77	906
79	77	896
80	78	887
81	78	878
82	78	867
83	78	858
84	79	850
85	79	842
86	79	834
87	79	826
88	79	818
89	80	810
90	80	803
91	80	797
92	81	790
93	81	783
94	81	776
95	81	769
96	81	762
97	82	756
98	82	749
99	82	743
100	82	737
101	83	731
102	83	725
103	83	719
104	83	713
105	84	708
106	84	702
107	84	697
108	84	692
109	84	686
110	85	681
111	85	676
112	85	671
113	85	666
114	86	661
115	86	656
116	86	651
117	86	647
118	86	642
119	86	637
120	87	633
121	87	628
122	87	624
123	87	620
124	88	616
125	88	612
126	88	607
127	88	604
128	88	600
129	89	597
130	89	593
131	89	589
132	89	585
133	90	582
134	90	578
135	90	575
136	90	571
137	91	568
138	91	565
139	91	561
140	91	558
141	91	554
142	92	551
143	92	549
144	92	546
145	92	543
146	93	539
147	93	536
148	93	534
149	93	531
150	93	528
151	94	525
152	94	522
153	94	519
